,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,crime_types_combined,crime_class_type_subtype,max_sentence
6831,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6832,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6833,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6834,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6835,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6836,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6837,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6838,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6839,2011,2014,White,0.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6840,2011,2014,White,3.0,C Felony,Drug,Trafficking,Parole,Interstate Compact,0,0,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
